County,VBM,EIP,Total,D - R
ALACHUA,26270,51100,77370,20610
BAKER,1852,7179,9031,-1930
BAY,17100,43958,61058,-19046
BRADFORD,2326,4675,7001,-939
BREVARD,88222,118389,206611,-27403
BROWARD,186736,426494,613230,206981
CALHOUN,938,2692,3630,1270
CHARLOTTE,33823,39645,73468,-14261
CITRUS,23966,29327,53293,-12068
CLAY,19194,54530,73724,-29933
COLLIER,53988,74928,128916,-39004
COLUMBIA,5411,14044,19455,-2477
DESOTO,2021,4445,6466,859
DIXIE,1731,2319,4050,37
DUVAL,69285,227368,296653,4248
ESCAMBIA,36524,56174,92698,-14193
FLAGLER,12698,29703,42401,-5154
FRANKLIN,1365,2313,3678,776
GADSDEN,3895,9626,13521,8354
GILCHRIST,1686,2412,4098,-1261
GLADES,782,863,1645,44
GULF,1358,3612,4970,-653
HAMILTON,1263,1702,2965,614
HARDEE,730,3618,4348,-872
HENDRY,1693,5809,7502,326
HERNANDO,32669,25843,58512,-6382
HIGHLANDS,10718,18996,29714,-5516
HILLSBOROUGH,175936,242168,418104,28092
HOLMES,1919,2901,4820,-1499
INDIANRIVER,21559,33134,54693,-13276
JACKSON,3948,9109,13057,1964
JEFFERSON,1217,2882,4099,1117
LAFAYETTE,566,1147,1713,334
LAKE,30477,75178,105655,-15271
LEE,151758,100893,252651,-54672
LEON,27626,67518,95144,26005
LEVY,4704,5107,9811,-2033
LIBERTY,426,1347,1773,1043
MADISON,1089,4554,5643,1531
MANATEE,63251,48613,111864,-17055
MARION,36206,66200,102406,-14065
MARTIN,28690,34037,62727,-18050
MIAMI-DADE,285137,475838,760975,112220
MONROE,13666,13323,26989,-1622
NASSAU,9663,23509,33172,-13790
OKALOOSA,20618,45151,65769,-29162
OKEECHOBEE,2396,5879,8275,-1173
ORANGE,145517,255112,400629,65533
OSCEOLA,41230,63256,104486,21986
PALMBEACH,139649,240399,380048,71994
PASCO,65351,76633,141984,-13331
PINELLAS,234659,78166,312825,358
POLK,75851,92645,168496,-1023
PUTNAM,6056,13868,19924,-226
SANTAROSA,17095,37197,54292,-24270
SARASOTA,74121,79927,154048,-16105
SEMINOLE,58508,109269,167777,-10186
STJOHNS,24888,71608,96496,-32401
STLUCIE,38505,57290,95795,8891
SUMTER,19374,45544,64918,-21533
SUWANNEE,3971,6482,10453,-895
TAYLOR,2110,3099,5209,881
UNION,878,2317,3195,-162
VOLUSIA,70973,97940,168913,-4235
WAKULLA,2871,6824,9695,39
WALTON,6583,13439,20022,-9502
WASHINGTON,2367,3675,6042,-1466
