ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	556,058	525,076	34,176	208,124	1,323,434	10/25/2016  7:28AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	3,544	6,790	270	1,528	12,132	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	513	474	10	63	1,060	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	5,152	2,773	138	879	8,942	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	640	534	22	106	1,302	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	21,268	15,190	1,493	6,284	44,235	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	21,735	46,898	1,273	13,557	83,463	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	155	369	6	29	559	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	10,389	7,232	787	3,525	21,933	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	8,034	5,045	487	2,412	15,978	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	6,141	2,198	273	1,457	10,069	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	20,722	8,249	827	5,979	35,777	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	1,428	1,199	99	300	3,026	10/25/2016  4:02AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	446	517	10	129	1,102	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	443	418	40	71	972	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	14,960	11,945	818	3,319	31,042	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	11,082	7,277	523	2,473	21,355	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	3,471	2,414	141	1,184	7,210	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	159	278	10	28	475	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	378	1,775	17	87	2,257	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	536	342	27	77	982	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	147	134	13	21	315	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	423	375	12	48	858	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	277	438	4	48	767	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	175	118	6	26	325	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Hendry	Voted Vote-by-Mail	452	467	11	65	995	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Hernando	Voted Vote-by-Mail	10,092	8,471	764	3,180	22,507	10/25/2016  4:51AM
10282	11/08/2016	2016 General Election	Highlands	Voted Vote-by-Mail	3,350	2,360	213	788	6,711	10/25/2016  4:51AM
