ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	825,918	761,818	49,452	326,192	1,963,380	10/31/2016  1:23PM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	5,886	10,347	394	2,554	19,181	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	767	645	15	79	1,506	10/31/2016  7:07AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	7,707	4,033	198	1,398	13,336	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	930	739	30	133	1,832	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	33,915	22,948	2,263	10,235	69,361	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	34,778	73,293	1,952	23,518	133,541	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	199	479	7	36	721	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	13,895	9,057	1,047	4,743	28,742	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	10,412	6,390	636	3,169	20,607	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	9,212	3,196	383	2,303	15,094	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	26,210	10,232	1,020	7,706	45,168	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	2,006	1,578	125	406	4,115	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	681	770	19	198	1,668	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	618	544	43	100	1,305	10/31/2016  4:04AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	25,402	18,872	1,327	5,613	51,214	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	15,087	9,530	704	3,420	28,741	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	4,896	3,369	199	1,745	10,209	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	360	553	22	74	1,009	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	511	2,363	29	131	3,034	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	709	453	31	102	1,295	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	205	193	14	38	450	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	557	443	13	62	1,075	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	354	556	9	63	982	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	268	174	7	45	494	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Hendry	Voted Vote-by-Mail	569	586	13	88	1,256	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Hernando	Voted Vote-by-Mail	12,624	10,255	954	4,133	27,966	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Highlands	Voted Vote-by-Mail	4,322	2,986	256	1,030	8,594	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Vote-by-Mail	51,067	57,697	3,618	22,962	135,344	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Holmes	Voted Vote-by-Mail	881	597	13	65	1,556	10/31/2016  5:09AM
10282	11/08/2016	2016 General Election	Indian River	Voted Vote-by-Mail	9,100	4,781	508	2,618	17,007	10/31/2016  5:09AM
