ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	1,108,444	1,180,845	67,310	540,584	2,897,183	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	10,287	22,119	817	6,148	39,371	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	3,572	1,974	60	409	6,015	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	19,448	8,269	611	4,180	32,508	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	1,878	1,261	47	271	3,457	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	41,745	31,399	2,966	16,893	93,003	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	64,526	177,410	4,089	64,077	310,102	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	638	1,410	15	149	2,212	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	15,480	8,607	1,229	5,632	30,948	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	13,188	6,687	739	4,154	24,768	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	27,847	8,956	902	6,165	43,870	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	33,083	15,633	1,274	11,808	61,798	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	5,595	4,001	212	999	10,807	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,281	1,850	42	422	3,595	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	826	840	46	146	1,858	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	66,499	71,214	3,997	21,079	162,789	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	22,033	15,819	906	5,395	44,153	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	11,373	8,307	533	4,771	24,984	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	642	1,066	33	181	1,922	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	1,279	6,293	61	388	8,021	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	1,139	481	41	149	1,810	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	216	275	11	64	566	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	1,585	1,096	42	187	2,910	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	470	703	30	75	1,278	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	1,559	926	47	186	2,718	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	2,074	2,234	59	408	4,775	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	9,633	6,700	685	3,538	20,556	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	7,915	4,764	416	2,080	15,175	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	60,411	73,423	4,218	32,569	170,621	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	1,600	627	18	117	2,362	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	14,072	7,330	813	4,962	27,177	11/04/2016  7:37AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	3,087	4,082	80	382	7,631	11/04/2016  7:37AM
