ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	439,845	477,636	26,268	184,234	1,127,983	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	3,717	9,072	300	1,940	15,029	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	1,833	881	25	176	2,915	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Bradford	Voted Early	874	597	22	107	1,600	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	18,166	13,979	1,245	6,363	39,753	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	25,350	72,229	1,578	21,240	120,397	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	313	619	8	64	1,004	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	6,999	3,971	522	2,156	13,648	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	7,045	3,642	393	1,993	13,073	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	12,975	4,052	386	2,394	19,807	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	15,543	7,483	647	4,950	28,623	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	635	868	19	170	1,692	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Duval	Voted Early	25,065	28,436	1,514	6,849	61,864	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	9,935	7,087	406	1,979	19,407	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	5,265	4,055	236	1,825	11,381	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	615	2,841	37	146	3,639	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Glades	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Gulf	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Hardee	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Hendry	Voted Early	1,075	1,078	32	147	2,332	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	4,422	3,147	317	1,334	9,220	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	25,157	31,234	1,756	11,329	69,476	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	664	234	10	38	946	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	6,692	3,528	413	2,039	12,672	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	1,432	1,845	41	146	3,464	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	338	594	17	64	1,013	10/28/2016  6:46AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Early	0	0	0	0	0	
10282	11/08/2016	2016 General Election	Lake	Voted Early	11,772	8,748	837	4,015	25,372	10/28/2016  6:46AM
