ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	786,643	724,738	47,124	306,236	1,864,741	10/29/2016 10:07AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	5,530	9,801	373	2,365	18,069	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	656	577	13	72	1,318	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	7,643	3,972	194	1,381	13,190	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	829	665	26	123	1,643	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	32,042	21,811	2,143	9,587	65,583	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	31,167	65,945	1,754	20,504	119,370	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	188	452	7	34	681	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	13,314	8,716	994	4,525	27,549	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	10,056	6,166	610	3,022	19,854	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	8,753	3,048	356	2,152	14,309	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	26,212	10,232	1,020	7,707	45,171	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	1,968	1,551	124	402	4,045	10/29/2016  4:02AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	572	630	14	163	1,379	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	601	526	42	94	1,263	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	23,805	17,623	1,243	5,203	47,874	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	14,512	9,230	676	3,263	27,681	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	4,245	2,953	167	1,472	8,837	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	341	517	22	70	950	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	502	2,291	29	130	2,952	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	702	446	30	101	1,279	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	192	185	13	33	423	10/29/2016  5:07AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	557	443	13	62	1,075	10/29/2016  5:07AM
