ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	684,100	739,306	40,657	305,056	1,769,119	10/31/2016  9:39AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	5,923	14,170	491	3,326	23,910	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	2,533	1,266	42	257	4,098	10/31/2016  7:07AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	6,827	2,981	211	1,272	11,291	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	1,230	802	28	153	2,213	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	27,638	20,809	1,899	10,195	60,541	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	40,117	114,377	2,495	36,448	193,437	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	419	899	11	90	1,419	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	9,868	5,496	727	3,145	19,236	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	9,328	4,747	512	2,711	17,298	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	18,760	5,899	576	3,744	28,979	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	21,387	10,244	856	7,043	39,530	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	1,854	1,217	58	309	3,438	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	848	1,218	27	259	2,352	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	457	454	24	69	1,004	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	40,717	44,792	2,415	11,821	99,745	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	14,222	9,865	559	3,013	27,659	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	7,603	5,678	343	2,799	16,423	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	214	373	10	55	652	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	874	4,236	49	238	5,397	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	390	163	13	35	601	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	73	86	2	22	183	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	635	429	23	53	1,140	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	160	176	9	23	368	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	427	260	7	48	742	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	1,405	1,468	42	222	3,137	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	6,164	4,272	433	1,939	12,808	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	2,715	1,684	135	638	5,172	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	37,537	46,577	2,585	18,319	105,018	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	998	367	12	69	1,446	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	9,367	4,910	556	3,035	17,868	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	2,096	2,717	53	230	5,096	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	500	964	30	103	1,597	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Early	120	158	4	7	289	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Lake	Voted Early	17,691	12,910	1,275	6,379	38,255	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Lee	Voted Early	24,625	15,464	1,170	9,663	50,922	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Leon	Voted Early	8,635	17,057	500	2,960	29,152	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Levy	Voted Early	1,221	744	108	202	2,275	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Liberty	Voted Early	150	531	5	28	714	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Madison	Voted Early	426	744	15	66	1,251	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Manatee	Voted Early	10,578	7,590	475	3,787	22,430	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Marion	Voted Early	16,960	12,255	1,321	4,678	35,214	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Martin	Voted Early	9,744	4,809	870	2,781	18,204	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Miami-Dade	Voted Early	60,016	100,511	2,742	48,820	212,089	10/31/2016  6:32AM
10282	11/08/2016	2016 General Election	Monroe	Voted Early	2,725	2,495	164	1,227	6,611	10/31/2016  6:32AM
