ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	731,713	679,326	44,011	282,317	1,737,367	10/28/2016 10:05AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	5,099	9,263	353	2,204	16,919	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	656	576	13	72	1,317	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	7,323	3,846	184	1,309	12,662	10/28/2016 10:05AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	829	665	26	123	1,643	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	29,840	20,479	2,014	8,870	61,203	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	28,949	61,547	1,626	18,711	110,833	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	183	433	6	34	656	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	12,816	8,463	957	4,340	26,576	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	9,591	5,871	592	2,882	18,936	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	8,000	2,800	319	1,928	13,047	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	24,395	9,524	953	7,108	41,980	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	1,807	1,462	118	377	3,764	10/28/2016  4:03AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	572	630	14	163	1,379	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	569	502	42	88	1,201	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	19,124	14,568	1,022	4,190	38,904	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	13,615	8,769	633	3,043	26,060	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	4,200	2,914	163	1,453	8,730	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	331	511	22	68	932	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	479	2,199	25	121	2,824	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	665	417	29	91	1,202	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	192	185	13	33	423	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	523	422	13	56	1,014	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	325	524	7	56	912	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	175	118	5	26	324	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Hendry	Voted Vote-by-Mail	563	578	13	87	1,241	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Hernando	Voted Vote-by-Mail	12,118	9,942	919	3,967	26,946	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Highlands	Voted Vote-by-Mail	4,057	2,846	250	957	8,110	10/28/2016  5:04AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Vote-by-Mail	45,800	52,185	3,229	19,990	121,204	10/28/2016  6:06AM
10282	11/08/2016	2016 General Election	Holmes	Voted Vote-by-Mail	831	567	11	62	1,471	10/28/2016  6:06AM
