ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	1,241,645	1,321,187	76,286	625,879	3,264,997	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	11,817	24,889	930	7,378	45,014	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	3,891	2,216	68	481	6,656	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	22,002	9,460	699	4,967	37,128	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	2,094	1,434	57	322	3,907	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	47,156	35,130	3,384	19,795	105,465	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	72,112	196,246	4,614	73,404	346,376	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	727	1,563	17	162	2,469	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	17,003	9,463	1,364	6,375	34,205	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	14,386	7,294	830	4,629	27,139	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	30,941	10,065	1,014	7,162	49,182	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	36,461	17,299	1,442	13,542	68,744	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	6,421	4,648	247	1,227	12,543	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,435	2,087	47	508	4,077	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	935	998	50	174	2,157	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	74,660	80,299	4,613	24,639	184,211	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	24,789	17,861	1,044	6,361	50,055	11/05/2016  6:56AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	12,446	9,113	585	5,402	27,546	11/05/2016  6:56AM
