ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	1,043,610	974,163	64,039	454,422	2,536,234	11/06/2016 10:10AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	8,005	13,748	557	3,960	26,270	11/06/2016  4:00AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	938	795	21	98	1,852	11/06/2016  4:00AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	9,799	5,029	272	1,949	17,049	11/06/2016  4:00AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	1,146	926	37	192	2,301	11/06/2016  4:00AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	42,780	28,755	2,842	13,845	88,222	11/06/2016  5:01AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	44,883	97,126	2,610	34,109	178,728	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	269	618	8	43	938	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	16,210	10,426	1,289	5,899	33,824	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	12,012	7,398	749	3,807	23,966	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	11,535	4,067	491	3,101	19,194	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	30,943	12,146	1,248	9,651	53,988	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	2,623	2,091	144	553	5,411	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	779	914	23	250	1,966	11/06/2016  5:55AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	798	747	52	134	1,731	11/06/2016  5:55AM
