ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	1,425,312	1,580,003	89,988	779,639	3,874,942	11/07/2016  9:17AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	13,212	28,079	1,053	8,756	51,100	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	4,174	2,387	80	538	7,179	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	25,578	11,306	826	6,248	43,958	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	2,462	1,731	62	420	4,675	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	52,535	39,157	3,825	22,872	118,389	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	86,666	239,078	5,756	94,994	426,494	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	784	1,705	17	186	2,692	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	19,417	10,939	1,602	7,687	39,645	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	15,397	7,943	898	5,089	29,327	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	33,801	11,336	1,152	8,241	54,530	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	39,191	18,984	1,589	15,164	74,928	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	7,136	5,191	284	1,433	14,044	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,556	2,263	52	574	4,445	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	995	1,083	54	187	2,319	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	89,018	100,572	5,658	32,120	227,368	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	27,384	20,266	1,174	7,350	56,174	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	13,251	9,809	641	6,002	29,703	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	766	1,288	37	222	2,313	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	1,528	7,535	75	488	9,626	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	1,518	641	55	198	2,412	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	351	412	12	88	863	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	1,926	1,391	49	246	3,612	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	611	948	36	107	1,702	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	2,026	1,255	59	278	3,618	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	2,441	2,741	76	551	5,809	11/07/2016  9:17AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	11,902	8,304	860	4,777	25,843	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	9,710	5,975	516	2,795	18,996	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	82,268	102,863	6,035	51,002	242,168	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	1,936	794	20	151	2,901	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	16,890	9,027	978	6,239	33,134	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	3,650	4,891	88	480	9,109	11/07/2016  6:50AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	940	1,685	48	209	2,882	11/07/2016  6:50AM
