ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	889,655	946,292	53,079	408,848	2,297,874	11/02/2016  7:09AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	7,852	17,695	638	4,449	30,634	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	3,090	1,624	48	337	5,099	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	14,012	5,950	401	2,754	23,117	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	1,540	1,020	38	202	2,800	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	34,308	25,768	2,406	13,129	75,611	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	51,373	143,334	3,194	48,430	246,331	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	518	1,153	12	118	1,801	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	12,595	7,026	986	4,274	24,881	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	11,273	5,702	622	3,360	20,957	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	23,055	7,331	727	4,748	35,861	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	27,203	12,731	1,061	9,223	50,218	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	4,050	2,801	143	665	7,659	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,072	1,515	33	335	2,955	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	639	646	31	104	1,420	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	52,926	57,111	3,099	15,767	128,903	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	17,874	12,571	695	4,046	35,186	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	9,558	7,017	446	3,773	20,794	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	460	768	25	125	1,378	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	1,082	5,240	56	314	6,692	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	797	339	28	88	1,252	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	146	197	7	41	391	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	1,227	803	35	132	2,197	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	353	461	22	48	884	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	1,063	635	34	118	1,850	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	1,742	1,806	53	292	3,893	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	7,782	5,404	531	2,600	16,317	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	5,795	3,490	308	1,409	11,002	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	48,100	58,756	3,316	24,298	134,470	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	1,322	498	14	98	1,932	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	11,703	6,146	678	3,948	22,475	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	2,577	3,436	66	307	6,386	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	630	1,189	34	136	1,989	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Early	254	367	11	15	647	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Lake	Voted Early	22,773	16,383	1,631	8,423	49,210	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Lee	Voted Early	30,846	19,324	1,497	12,785	64,452	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Leon	Voted Early	10,977	21,281	640	3,869	36,767	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Levy	Voted Early	1,643	986	141	284	3,054	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Liberty	Voted Early	176	679	5	32	892	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Madison	Voted Early	885	1,551	30	138	2,604	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Manatee	Voted Early	13,801	9,710	638	5,159	29,308	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Marion	Voted Early	21,137	15,411	1,628	6,086	44,262	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Martin	Voted Early	12,109	5,870	1,069	3,513	22,561	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Miami-Dade	Voted Early	75,704	126,822	3,521	64,045	270,092	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Monroe	Voted Early	3,546	3,151	208	1,651	8,556	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Nassau	Voted Early	10,537	3,231	409	1,704	15,881	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Okaloosa	Voted Early	19,284	5,509	445	3,690	28,928	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Okeechobee	Voted Early	2,137	1,398	97	390	4,022	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Orange	Voted Early	39,930	67,102	2,841	29,268	139,141	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Osceola	Voted Early	9,306	17,118	674	7,509	34,607	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Palm Beach	Voted Early	40,330	66,871	4,485	28,350	140,036	11/02/2016  7:08AM
10282	11/08/2016	2016 General Election	Pasco	Voted Early	16,961	12,842	1,575	6,616	37,994	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Pinellas	Voted Early	13,031	14,445	1,205	7,375	36,056	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Polk	Voted Early	19,274	21,479	1,286	9,316	51,355	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Putnam	Voted Early	4,380	3,933	162	931	9,406	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Santa Rosa	Voted Early	16,074	4,736	615	2,854	24,279	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Sarasota	Voted Early	24,462	16,269	1,493	9,908	52,132	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	Seminole	Voted Early	26,096	23,420	1,442	12,876	63,834	11/02/2016  5:21AM
10282	11/08/2016	2016 General Election	St. Johns	Voted Early	28,063	11,285	1,223	6,964	47,535	11/02/2016  5:21AM
