ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	821,147	755,712	49,152	323,467	1,949,478	10/30/2016  8:05AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	5,886	10,347	394	2,554	19,181	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	656	578	13	72	1,319	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	7,643	3,972	194	1,381	13,190	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	829	665	26	123	1,643	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	33,703	22,822	2,248	10,158	68,931	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	33,276	70,130	1,863	22,208	127,477	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	199	479	7	36	721	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	13,895	9,057	1,047	4,743	28,742	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	10,412	6,390	636	3,169	20,607	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	8,752	3,048	356	2,152	14,308	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	26,210	10,232	1,020	7,706	45,168	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	2,006	1,578	125	406	4,115	10/30/2016  4:02AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	681	770	19	198	1,668	10/30/2016  5:06AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	618	544	43	100	1,305	10/30/2016  5:06AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	25,095	18,496	1,319	5,545	50,455	10/30/2016  5:06AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	15,033	9,502	698	3,384	28,617	10/30/2016  5:06AM
