ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	998,599	1,061,740	60,149	472,647	2,593,135	11/03/2016  6:43AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	8,994	19,832	717	5,198	34,741	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	3,360	1,790	50	371	5,571	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	16,811	7,142	504	3,466	27,923	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	1,716	1,146	43	236	3,141	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	37,941	28,527	2,678	14,916	84,062	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	57,736	160,065	3,638	55,879	277,318	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	578	1,279	14	135	2,006	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	14,108	7,832	1,102	4,984	28,026	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	12,253	6,170	680	3,759	22,862	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	25,440	8,118	809	5,450	39,817	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	30,115	14,166	1,168	10,469	55,918	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	4,850	3,425	180	831	9,286	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,161	1,683	35	376	3,255	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	722	748	41	126	1,637	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	59,735	64,095	3,534	18,387	145,751	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	19,889	14,140	786	4,719	39,534	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	10,471	7,649	481	4,269	22,870	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	561	938	29	153	1,681	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	1,184	5,779	59	348	7,370	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	953	414	38	115	1,520	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	183	229	9	53	474	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	1,426	966	41	155	2,588	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	418	598	25	64	1,105	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	1,319	807	40	148	2,314	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	1,906	2,001	54	344	4,305	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	8,726	6,036	607	3,051	18,420	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	6,956	4,148	373	1,761	13,238	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	54,152	65,896	3,772	28,195	152,015	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	1,451	558	14	104	2,127	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	12,862	6,766	743	4,440	24,811	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	2,819	3,739	71	341	6,970	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	702	1,282	38	153	2,175	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Early	317	437	11	18	783	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Lake	Voted Early	25,257	18,174	1,812	9,627	54,870	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Lee	Voted Early	34,330	21,519	1,689	14,630	72,168	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Leon	Voted Early	12,347	23,968	729	4,502	41,546	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Levy	Voted Early	1,908	1,111	156	326	3,501	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Liberty	Voted Early	190	759	5	37	991	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Madison	Voted Early	1,038	1,844	38	180	3,100	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Manatee	Voted Early	15,564	10,893	723	5,976	33,156	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Marion	Voted Early	23,267	17,046	1,793	6,856	48,962	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Martin	Voted Early	13,295	6,475	1,179	3,958	24,907	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Miami-Dade	Voted Early	84,505	142,370	4,011	73,566	304,452	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Monroe	Voted Early	3,951	3,531	236	1,881	9,599	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Nassau	Voted Early	11,647	3,583	451	1,913	17,594	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Okaloosa	Voted Early	21,427	6,108	511	4,305	32,351	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Okeechobee	Voted Early	2,323	1,534	106	431	4,394	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Orange	Voted Early	45,413	75,855	3,233	34,320	158,821	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Osceola	Voted Early	10,352	19,386	752	8,845	39,335	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Palm Beach	Voted Early	45,481	75,066	5,027	32,651	158,225	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Pasco	Voted Early	21,261	15,767	1,976	8,543	47,547	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Pinellas	Voted Early	15,284	16,775	1,431	8,881	42,371	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Polk	Voted Early	21,879	24,195	1,452	10,910	58,436	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Putnam	Voted Early	4,754	4,366	171	1,046	10,337	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Santa Rosa	Voted Early	17,848	5,238	699	3,300	27,085	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Sarasota	Voted Early	27,213	18,046	1,681	11,243	58,183	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Seminole	Voted Early	29,064	25,949	1,624	14,803	71,440	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	St. Johns	Voted Early	31,067	12,505	1,369	7,883	52,824	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	St. Lucie	Voted Early	12,816	17,560	1,093	6,890	38,359	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Sumter	Voted Early	23,103	8,466	1,261	5,921	38,751	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Suwannee	Voted Early	1,979	1,509	114	262	3,864	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Taylor	Voted Early	918	1,214	32	98	2,262	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Union	Voted Early	793	582	30	64	1,469	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Volusia	Voted Early	26,675	27,254	2,115	14,091	70,135	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Wakulla	Voted Early	2,370	2,245	114	474	5,203	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Walton	Voted Early	5,708	1,578	113	1,074	8,473	11/03/2016  6:42AM
10282	11/08/2016	2016 General Election	Washington	Voted Early	1,757	868	39	146	2,810	11/03/2016  6:42AM
