ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	677,920	631,686	40,982	258,825	1,609,413	10/27/2016 10:06AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	4,662	8,532	334	2,013	15,541	10/27/2016  6:48AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	590	534	11	70	1,205	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	6,907	3,677	175	1,219	11,978	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	814	661	26	123	1,624	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	27,343	19,062	1,872	8,106	56,383	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	26,130	55,551	1,496	16,570	99,747	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	170	403	6	33	612	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	12,026	8,055	901	4,091	25,073	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	9,089	5,591	555	2,709	17,944	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	7,709	2,687	315	1,837	12,548	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	23,852	9,311	929	6,933	41,025	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	1,689	1,405	109	354	3,557	10/27/2016  4:02AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	526	597	12	151	1,286	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	532	469	41	81	1,123	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	18,781	14,357	1,000	4,120	38,258	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	12,742	8,250	589	2,806	24,387	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	3,944	2,739	154	1,351	8,188	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	270	378	21	56	725	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	424	1,974	20	100	2,518	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	616	388	27	88	1,119	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	173	162	13	28	376	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	479	399	13	51	942	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	311	498	4	53	866	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	175	118	5	26	324	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Hendry	Voted Vote-by-Mail	524	527	13	76	1,140	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Hernando	Voted Vote-by-Mail	11,514	9,543	882	3,741	25,680	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Highlands	Voted Vote-by-Mail	3,820	2,711	236	903	7,670	10/27/2016  5:04AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Vote-by-Mail	43,003	49,285	3,050	18,611	113,949	10/27/2016  6:06AM
10282	11/08/2016	2016 General Election	Holmes	Voted Vote-by-Mail	799	550	11	60	1,420	10/27/2016  6:06AM
