ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	1,047,119	980,440	64,338	457,756	2,549,653	11/07/2016  9:17AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	8,005	13,748	557	3,960	26,270	11/07/2016  4:01AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	938	795	21	98	1,852	11/07/2016  4:01AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	9,824	5,050	273	1,953	17,100	11/07/2016  4:01AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	1,152	944	37	193	2,326	11/07/2016  4:01AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	42,780	28,755	2,842	13,845	88,222	11/07/2016  4:01AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	46,616	101,185	2,728	36,207	186,736	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	269	618	8	43	938	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	16,209	10,426	1,289	5,899	33,823	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	12,012	7,398	749	3,807	23,966	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	11,535	4,067	491	3,101	19,194	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	30,943	12,146	1,248	9,651	53,988	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	2,623	2,091	144	553	5,411	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	794	946	23	258	2,021	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	798	747	52	134	1,731	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	33,101	25,795	1,876	8,513	69,285	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	19,014	11,939	910	4,661	36,524	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	5,904	4,192	256	2,346	12,698	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	483	737	29	116	1,365	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	661	3,008	41	185	3,895	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	945	561	44	136	1,686	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	352	335	24	71	782	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	688	570	17	83	1,358	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	447	724	12	80	1,263	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	371	270	13	76	730	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Hendry	Voted Vote-by-Mail	754	780	21	138	1,693	11/07/2016  8:40AM
10282	11/08/2016	2016 General Election	Hernando	Voted Vote-by-Mail	14,595	11,811	1,130	5,133	32,669	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Highlands	Voted Vote-by-Mail	5,409	3,628	314	1,367	10,718	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Vote-by-Mail	65,441	72,938	4,796	32,761	175,936	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Holmes	Voted Vote-by-Mail	1,090	733	16	80	1,919	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Indian River	Voted Vote-by-Mail	11,411	5,998	647	3,503	21,559	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Jackson	Voted Vote-by-Mail	1,495	2,218	35	200	3,948	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Vote-by-Mail	380	752	21	64	1,217	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Vote-by-Mail	206	338	0	22	566	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Lake	Voted Vote-by-Mail	15,506	9,749	907	4,315	30,477	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Lee	Voted Vote-by-Mail	78,788	40,199	3,509	29,262	151,758	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Leon	Voted Vote-by-Mail	8,846	15,337	518	2,925	27,626	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Levy	Voted Vote-by-Mail	2,571	1,556	192	385	4,704	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Liberty	Voted Vote-by-Mail	74	328	2	22	426	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Madison	Voted Vote-by-Mail	346	658	18	67	1,089	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Manatee	Voted Vote-by-Mail	30,438	19,839	1,456	11,518	63,251	11/07/2016  6:16AM
10282	11/08/2016	2016 General Election	Marion	Voted Vote-by-Mail	18,478	11,866	1,334	4,528	36,206	11/07/2016  6:16AM
