ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	783,416	839,572	46,617	353,397	2,023,002	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	6,831	15,885	551	3,822	27,089	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	2,845	1,451	44	295	4,635	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	10,649	4,560	297	2,011	17,517	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	1,385	908	36	173	2,502	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	30,781	23,205	2,137	11,566	67,689	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	45,395	128,367	2,817	42,013	218,592	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	476	1,033	12	102	1,623	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	11,194	6,263	848	3,742	22,047	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	10,233	5,190	572	3,008	19,003	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	20,752	6,545	649	4,194	32,140	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	24,321	11,504	956	8,063	44,844	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	3,021	2,017	99	492	5,629	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	949	1,368	29	302	2,648	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	556	556	27	87	1,226	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	46,411	50,734	2,717	13,578	113,440	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	15,924	11,117	616	3,450	31,107	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	8,605	6,374	392	3,274	18,645	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	361	615	16	96	1,088	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	970	4,753	52	278	6,053	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	620	261	17	66	964	11/01/2016  7:27AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	115	147	6	32	300	11/01/2016  7:27AM
